food_id,food_name,food_category,food_description,veg_non,diet,price,height,weight,disease,diet_plan,diet_goal
11,coconut lime quinoa salad,salad,"uncooked quinoa, water, red onion, cucumber (diced), purple cabbage, avocado (ripened and diced), orange, shelled edamame (defrosted), unsweetened toasted coconut flakes, almonds, few shakes of black pepper, for the dressing:, orange juice, lime (juiced), apple cider vinegar, olive oil",Veg, alkaline_diet low_fat_diet paleo_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,540,66.22022394,78.11543126,Diabetes,Low carbs,cure disease
12,lemon honey glazed sous vide corn on the cob,corn,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer",Non-Veg, low_fat_diet gluten_free_diet high_fiber_diet high_protien_diet dash_diet,310,60.33351209,82.43454231,Hypertension,Vegan,weight gain
13,watermelon and strawberry smoothie,smoothie,"fresh strawberries, honey, low fat yogurt, watermelon, chia seeds",Veg, high_protien_diet high_fiber_diet,475,75.09667248,96.15562105,Diabetes,Low carbs,weight gain
14,"peach, raspberry and nuts smoothie",smoothie,"fresh raspberries, ripe banana, almond, fresh peach slices, low fat yogurt, fresh raspeberry, peach fruit slices, almonds",Veg, alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet,585,71.73531736,63.29206824,Asthma,Gluten-Free,weight gain
15,almond and cranberry poha,poha,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut",Veg, gluten_free_diet vegan_diet low_fat_diet high_fiber_diet,445,68.7682676,80.43872437,Asthma,Dairy-Free,weight loss
16,almond and raw banana galawat,banana,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter",Veg, alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,395,65.83525547,83.13270716,Diabetes,Vegan,cure disease
17,baked namakpara with roasted almond dip,dip,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water",Veg, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,425,59.46544819,69.62982895,Hypertension,Gluten-Free,cure disease
18,grilled almond barfi (sugar free),barfi,"khoya, sweetener (optional), almonds (crushed)",Veg, low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet,645,68.63252386,67.25066202,Diabetes,Veg,maintain body
19,baked shankarpali recipe,shankarpali,"whole wheat flour (atta), refined flour (maida), garlic cloves (crushed), salt, red chilli powder, chaat masala, cumin powder, tomato puree, ghee",Veg, alkaline_diet low_fat_diet low_sodium_diet high_fiber_diet high_protien_diet,325,60.99630142,84.7533986,Hypertension,Dairy-Free,cure disease
20,baked multigrain murukku,baked,"oats, ragi flour (bhakri atta), wheat flour, rice flour, urad dal flour (dry roast and grind the dal to a fine powder), cumin seeds, green chillies, ginger, salt, oil",Veg, low_sodium_diet vegan_diet low_fat_diet high_fiber_diet,635,71.4128485,68.85328296,Asthma,Gluten-Free,weight gain
21,apple rabdi,rabdi,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)",Veg, high_protien_diet vegan_diet low_fat_diet ketogenic_diet,335,75.48268913,59.79995918,Diabetes,Vegan,weight gain
22,baked namak para,baked,"whole wheat flour (atta), refined flour (maida), baking powder, ghee, salt, carom seeds (ajwain)",Veg, low_sodium_diet high_protien_diet low_fat_diet high_fiber_diet,610,60.61297354,97.83350451,Hypertension,Veg,weight loss
23,dates and nuts ladoo,ladoo,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)",Veg, alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet,420,75.02996866,59.99721935,Asthma,Gluten-Free,weight loss
24,green lentil dessert fudge,dessert,"whole moong beans, cow ghee, raisins, whole milk, jaggery (organic), ground cardamom, almonds (halved)",Veg, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet,210,77.32361969,73.49016266,Asthma,Non-Veg,weight gain
25,cashew nut cookies,cookie,"cashew paste, ghee, khaand (a sweetening agent and a healthier substitute of sugar), flax or chia seeds, plain yogurt, baking soda, baking powder, vanilla, oats, organic all-purpose flour",Veg, high_protien_diet vegan_diet dash_diet ketogenic_diet,655,59.46850917,90.25094362,Diabetes,Keto,maintain body
26,almond pearls,almond,"toasted almonds, blueberries, oats, corn flakes, olive oil, salt, curry leaves, mustard seeds, cumin seeds, red chilli powder, turmeric powder, black pepper powder, ajwain, lemon juice",Veg, gluten_free_diet,550,59.33392091,97.12607919,None,Low carbs,weight loss
27,hawaiin papaya salad,salad,"papaya, fresh lime (juiced), watermelon balls or small squares (seedless), fresh pineapple chunks, coconut (unsweetened), vanilla flavoured yogurt (low fat)",Veg, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet,245,65.36742614,71.97321797,Diabetes,Non-Veg,weight loss
28,vegetable som tam salad,salad,"raw papaya, carrot, french bean diamond, cherry tomato, garlic, crush mix chilli, somtam dressing, peanuts (crushed), peanuts",Veg, low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,655,63.19022146,51.54164614,None,Non-Veg,maintain body
29,spinach and feta crepes,spinach,"milk (whole fat or skimmed), flour, water, butter, honey, salt, vegetable oil, extra butter (for crisping the crepe), spinach, feta cheese (crumbled), greek yogurt (whisked), honey",Veg, dash_diet high_fiber_diet type_a_diet ketogenic_diet,245,73.79701028,96.99762747,Asthma,Dairy-Free,weight loss
30,couscous with ratatouille - tangy tomato sauce,sauce,"for the cous cous:, plain couscous, extra virgin olive oil, vegetable stock, herbs (basil, parsley, thyme, cilantro work best), for the ratatouille:, olive oil (regular not extra virgin), red onions, aubergines (cut in to 3 cm cubes), zucchini (cut in to 3 cm cubes), garlic cloves, ground cumin, sweet paprika, tomato paste, salt",Veg, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet,220,68.22628213,60.74828107,Hypertension,Keto,weight gain
31,baked almond kofta,kofta,"potato (boiled), nutmeg, milk, almonds (crushed), green onions, refined flour, egg, salt, pepper, eggs, refined flour (for rolling), dried breadcrumbs (for rolling)",Veg, low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,610,71.37902866,70.25381491,Diabetes,Dairy-Free,weight loss
32,almond and amaranth ladoo,ladoo,"popped amaranth seeds, jaggery, almonds (slivered, unpeeled)",Veg, low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet,685,69.70377295,99.40444774,Diabetes,Gluten-Free,weight loss
33,moong dal kiwi coconut soup,soup,"धूली मूंग दाल नमक के साथ उबली हुई, कीवी, नारियल क्रीम, तेल, तेजपत्ता , जीरा, काली मिर्च, लहसुन की कलियां ,, प्याज, हल्दी पाउडर, करी पाउडर, नमक , ताजा हरा धनिया",Veg, alkaline_diet paleo_diet ketogenic_diet high_fiber_diet gluten_free_diet dash_diet,420,74.46152055,87.1261678,None,Keto,weight loss
34,vegetable som tam salad,salad,"मूंगफली , गाजर, फ्रेंच बीन्स, चेरी टोमैटो, लहसुन, क्रश मिक्स चिली, सॉम टैम ड्रेसिंग, मूंगफली (क्रशड), मूंगफली",Veg, low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,220,74.22386571,72.76472825,Hypertension,Gluten-Free,weight gain
35,green lentil dessert fudge,dessert,"साबुत हरी मूंग दाल, देसी घी , दूध, गुड़, इलाइची पाउडर, बादाम",Veg, alkaline_diet low_fat_diet vegan_diet high_fiber_diet hormone_diet dash_diet,625,69.26010776,83.94514042,Asthma,Low carbs,weight gain
36,mixed berry &amp; banana smoothie,smoothie,"फिरोजन मिक्स बेरिज़, पका हुआ केला, ताजा संतरे का जूस, लो फैट दही",Veg, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet,325,71.93089295,60.65819781,Hypertension,Non-Veg,weight loss
37,banana walnut smoothie,smoothie,"लो फैट दही, केला, अखरोट, सीड्स  (फैक्ससीड्स और चिया सीड्स), शहद",Veg, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet,235,70.22476843,77.16734852,None,Vegan,weight loss
38,spicy watermelon soup,soup,"तरबूज, अदरक-लहसुन का पेस्ट, पुदीना, चिली फलेक्स, जैतून का तेल (पकाने के लिए)",Veg, alkaline_diet,225,72.90096764,58.15321976,Hypertension,Gluten-Free,cure disease
39,red rice poha,poha,"प्याज, पैपर, बटन मशरूम, जंगली मशरूम, वाइट वाइन, टमाटर, सेज लीफ, रेड पोहा, ट्रफल ऑयल, रोजमेरी",Veg, alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet,275,66.87189185,61.63904891,None,Keto,weight loss
40,mixed salad with lotus root,salad,"आइसबर्ग लैटयूस, लोलो रोसो, एंडिव लैट्यूस , लाल पत्तागोभी, लोटस रूट, कददू, यैम बीन्स, छोटी प्याज, अनार , शैलेट तेल, पोमेलो, लेमनग्रास सॉस",Veg, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet,545,77.45957346,55.7263869,Diabetes,Gluten-Free,cure disease
41,sweet potato and quinoa bowl,potato,"स्वीट पौटेटो क्यूब्स, नारियल, प्याज, क्निोआ (पका हुआ), किशमिश, काजू, कालीमिर्च पाउडर, कैएन, तेजपत्ता, नमक",Veg, alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,525,65.66485244,71.95065217,None,Keto,maintain body
42,corn and raw mango salad,salad,"भुट्टे के दाने , प्याज, हरी प्याज, लाल शिमला मिर्च, कच्चा आम (टुकड़े), सेलेरी स्टॉक (टुकड़े), चेरी टमाटर, पाइनएप्पल (टुकड़े), पासर्ले, हरा धनिया, बैजल के पत्ते, ब्लैक ऑलिव, नींबू का रस, ऑलिव आॅयल, काला नमक, सफेद मिर्च पाउडर, टाको शेल",Veg, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet high_fiber_diet high_protien_diet,480,74.78625799,67.99378984,Hypertension,Keto,weight loss
43,oats khichdi,khichdi,"क्विक कुकिंग ओट्स, मूंगदाल, जीरा, हल्दी पाउडर, लाल मिर्च पाउडर, प्याज, टमाटर, गाजर, हरी मटर, अदरक, हरी मिर्च, नमक, एक्ट्रा वर्जिन ऑलिव ऑयल, पानी, हरा धनिया",Veg, high_protien_diet dash_diet gluten_free_diet,690,62.46895815,52.70518764,Asthma,Veg,cure disease
44,sugar free modak,snacks,"seedless dates, almonds, cashew nuts, walnuts, raisins, dry coconut, poppy seeds, ghee",Veg, low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet,210,75.76794776,76.37139691,None,Keto,weight loss
45,beetroot modak,snacks,"gram flour (besan), semolina (rava/sooji), beetroot colour or two oven cooked beetroot paste , water, oil (for frying), for sugar syrup:, sugar, water, cardamom powder, lemon juice, cashews (kaju)",Veg, vegan_diet low_fat_diet ketogenic_diet,420,69.55758307,67.79760087,None,Veg,cure disease
46,andhra pan fried pomfret,snacks,"white pomfret fish, sunflower refined ooil, red chilli powder, salt, turmeric powder, ginger-garlic paste, lemon (juiced), cumin powder, coriander powder, garam masala, green chilli, curry leaves, coriander",Veg, alkaline_diet low_fat_diet vegan_diet high_fiber_diet hormone_diet,645,61.65595008,54.31449646,None,Veg,maintain body
47,ghee roast chicken dosa quesadilla,snacks,"dry red chillies, coriander seeds, cumin seeds, fenugreek seeds, black pepper, clove, garlic, turmeric powder, boneless chicken, curd, lemon (juiced), for cooking chicken:, tamarind pulp, ginger (1 inch), garlic cloves, onion, tomato, ghee, red chilli powder, salt, crushed jaggery, dosa batter (for 4 dosas), processed cheese, ghee or oil (to crisp the dosa), coriander leaves, curry leaves (deep fried), curd, salt, zeera powder, sugar, red chilli powder",Non-Veg, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,685,70.42207417,57.60434085,Hypertension,Non-Veg,weight gain
48,steam bunny chicken bao,snacks,"buns, all purpose white flour, dry yeast, sugar, salt, warm water, chicken mince, eggs, soy sauce, sugar, sesame oil, worcestershire sauce, chives, aromat powder",Non-Veg, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,335,73.6279763,62.5371453,None,Low carbs,weight loss
49,meat lovers pizza,snacks,"millet flour, tapioca flour, soy milk, garlic powder, baking powder, salt, tomato sauce, mozzarella cheese, prosciutto, pepperoni, chicken salami, salami milano, rosemary, olive oil",Non-Veg, type_o_diet low_fat_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,405,66.22530913,85.60794019,Diabetes,Gluten-Free,weight gain
50,almond and chicken momos (without shell),snacks,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)",Non-Veg, low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,415,78.70297402,56.69057576,Diabetes,Gluten-Free,weight loss
51,christmas tree pizza,snacks,"pizza dough (2 boules), red pepper, red onion, basil pesto (purchased, homemade or vegan pesto), mozzarella cheese, kosher salt",Veg, vegan_diet high_fiber_diet,660,62.4351076,81.44084683,Hypertension,Low carbs,maintain body
52,belgian pork chop,snacks,"pork chop, pink pepper corn, green pepper corn, aromatic sauce, salt, black pepper, salted butter, refined oil, red cabbage, bell pepper chop, apricot, onion, red wine, ancho chilli, cayenne pepper, microgreen",Veg, low_fat_diet paleo_diet vegan_diet high_fiber_diet high_protien_diet,215,63.9952289,64.88913214,Hypertension,Dairy-Free,maintain body
53,christmas chocolate fudge cookies,cookie,"unsalted butter, brown sugar, chocolate, chocolate chips, eggs, flour, cocoa powder, baking powder",Veg, high_protien_diet high_fiber_diet ketogenic_diet,530,78.33305894,75.22727743,Asthma,Non-Veg,weight loss
54,japanese curry arancini with  barley salsa,snacks,"japanese curry, sticky rice, cheese inside rice, barley salsa, wasabi mayo, red capsicum cube (cut), yellow capsicum cube (cut), green capsicum cube (cut), green chily, barley, butter, white pepper, light soya, salt",Veg, high_protien_diet vegan_diet low_fat_diet ketogenic_diet,690,76.40613035,75.15035177,Asthma,Vegan,maintain body
55,chocolate nero cookies,cookie,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar",Veg, high_protien_diet high_fiber_diet ketogenic_diet,245,65.45508134,80.76558033,Hypertension,Veg,weight loss
56,chicken parmigiana with tomato sauce,snacks,"for chicken parmigiana:, chicken breast, egg whole frozen, flour, planko bread crumbs, fresh italian parsley, vegetable oil, solid butter unsalted, tomato sauce, mozzarella cheese, italian parmesan cheese, thyme, for pepperonata:, red pepper, green pepper, yellow pepper, red onion, fresh tomato, butternut squash, garlic, pure olive oil, vegetable oil, black pepper corn (crushed), salt, parsley, for garnishing:, parsley sprig, spinach",Non-Veg, low_fat_diet low_carb_diet vegan_diet hormone_diet high_protien_diet type_a_diet,485,73.96121205,66.19518578,Hypertension,Keto,cure disease
57,chocolate appo,snacks,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter",Veg, high_protien_diet high_fiber_diet ketogenic_diet,340,60.68767315,87.90307339,Diabetes,Dairy-Free,cure disease
58,lemon honey glazed sous vide corn on the cob,snacks,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer",Non-Veg, low_fat_diet gluten_free_diet high_fiber_diet high_protien_diet dash_diet,685,63.48483839,99.87299064,None,Low carbs,weight gain
59,sous-vide salmon tikka,snacks,"norwegian salmon, black garlic pickle, butter, butchery bag, smoked yogurt, home made prawn crisp, edible flower, salt",Non-Veg, high_protien_diet vegan_diet low_fat_diet ketogenic_diet,465,67.22988461,68.33411033,None,Keto,maintain body
60,filo pizza,snacks,"filo pastry, himalayan salt, black pepper, salted butter, tomato sauce, broccoli, button mushroom, green zucchini, yellow zucchini, capsicum yellow, capsicum green, capsicum red, pizza spice mix, mozzarella cheese",Veg, high_protien_diet vegan_diet low_fat_diet ketogenic_diet,590,65.23119524,50.65940204,Asthma,Low carbs,weight gain
61,almond and cranberry poha,snacks,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut",Veg, gluten_free_diet vegan_diet low_fat_diet high_fiber_diet,540,73.26911902,76.61326923,Asthma,Veg,maintain body
62,almond and raw banana galawat,snacks,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter",Veg, alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,410,77.81624917,98.65950396,Hypertension,Non-Veg,weight loss
63,baked namakpara with roasted almond dip,snacks,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water",Veg, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,550,76.87256567,74.49577151,Asthma,Non-Veg,weight gain
64,grilled almond barfi (sugar free),snacks,"khoya, sweetener (optional), almonds (crushed)",Veg, low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet,615,63.30305543,62.71824253,None,Vegan,maintain body
65,chocolate samosa,snacks,"refined flour, desi ghee, black cardamom seeds, chocolate block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil",Veg, high_protien_diet high_fiber_diet ketogenic_diet,330,72.85465622,69.96233697,None,Gluten-Free,cure disease
66,baked shankarpali recipe,snacks,"whole wheat flour (atta), refined flour (maida), garlic cloves (crushed), salt, red chilli powder, chaat masala, cumin powder, tomato puree, ghee",Veg, alkaline_diet low_fat_diet low_sodium_diet high_fiber_diet high_protien_diet,370,59.1463248,90.90318669,None,Veg,weight loss
67,baked multigrain murukku,snacks,"oats, ragi flour (bhakri atta), wheat flour, rice flour, urad dal flour (dry roast and grind the dal to a fine powder), cumin seeds, green chillies, ginger, salt, oil",Veg, low_sodium_diet vegan_diet low_fat_diet high_fiber_diet,395,71.72144035,76.21094501,Hypertension,Low carbs,cure disease
68,baked namak para,snacks,"whole wheat flour (atta), refined flour (maida), baking powder, ghee, salt, carom seeds (ajwain)",Veg, low_sodium_diet high_protien_diet low_fat_diet high_fiber_diet,695,76.28202386,96.15750651,None,Non-Veg,maintain body
69,dates and nuts ladoo,snacks,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)",Veg, alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet,605,59.66309917,67.36844483,Hypertension,Veg,cure disease
70,fish with jamun sauce,snacks,"जामुन, चीनी, मिर्च, लहसुन की कलियां, जीरा पाउडर, फिश फिलेट, सूजी, नमक, पालक",Non-Veg, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,520,78.00951787,99.13882913,Hypertension,Veg,cure disease
71,dahi lasooni chicken,snacks,"चिकन (बोनलेस क्यूब्स साइज), चीज, लहसुन, अदरक लहसुन का पेस्ट, हरा धनिया, हरी मिर्च पेस्ट, क्रीम, दही , काजू पेस्ट, नमक, काला नमक, गरम मसाला, चाट मसाला, मक्खन",Non-Veg, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,450,59.93049677,79.63693079,None,Keto,maintain body
72,pesto fish kebabs,snacks,"किंग फिश एक इंच टुकड़ों को में कटे हुए, लाल शिमला मिर्च एक इंच टुकड़ों को में कटे हुए, बेजल पेस्तो, वाइट वाइन विनेगर, नमक, कुकिंग स्प्रे",Non-Veg, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,610,69.39554311,72.40163571,Asthma,Veg,weight loss
73,caramelized sesame smoked almonds,snacks,"साबुत बादाम, सफेद और काले तिल, चीनी, रोजमेरी, लाल मिर्च पाउडर, नमक या सेंधा नमक",Veg, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet,320,78.34657047,56.6230055,None,Vegan,weight gain
74,crunchy vegetable dal sattu croquettes,dal,"red lentils or masoor dal (half-boiled), potato (grated), carrot, french beans, bread slices, ground chickpea flour (sattu), green chillies, ginger, onions, garlic (minced), salt, sugar, chaat masala, red chilli powder, garam masala, corn flour, besan, bread crumbs for crunchyness, coriander, refined oil (for fryingp)",Veg, low_fat_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,530,76.00259929,74.95109038,Hypertension,Low carbs,weight gain
75,sugar free modak,modak,"seedless dates, almonds, cashew nuts, walnuts, raisins, dry coconut, poppy seeds, ghee",Veg, low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet,405,64.85979685,69.53800775,Diabetes,Veg,maintain body
76,beetroot modak,modak,"gram flour (besan), semolina (rava/sooji), beetroot colour or two oven cooked beetroot paste , water, oil (for frying), for sugar syrup:, sugar, water, cardamom powder, lemon juice, cashews (kaju)",Veg, vegan_diet low_fat_diet ketogenic_diet,340,66.46811949,74.73686497,Hypertension,Keto,maintain body
77,active charcoal modak,modak,"for modak:, gram flour (besan), semolina (rava/suji), active charcoal, water, oil (for frying), sugar, water, cardamom powder, lemon juice, cashews (kaju)",Veg, vegan_diet low_fat_diet ketogenic_diet hormone_diet,315,71.08986646,76.68840537,None,Keto,maintain body
78,flax seed and beetroot modak,modak,"rice flour, salt, oil (for greasing), beetroot puree, tossed flax seeds (for topping), fresh coconut, jaggery, poppy seeds, green cardamom powder, nutmeg powder",Veg, high_protien_diet vegan_diet high_fiber_diet,420,77.05865894,63.35415486,Diabetes,Veg,weight gain
79,summer squash salad,salad,"white balsamic vinegar, lemon juice, lemon rind, red chillies, garlic cloves (crushed), olive oil, summer squash (zucchini), sea salt, black pepper, basil leaves",Veg, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet,490,61.44372965,62.87284216,Diabetes,Gluten-Free,weight loss
80,chocolate prunes gujiyas,chocolate,"for gujiya pastry:, refined flour, ghee, water, salt, for gujiya stuffing:, dark chocolate, prunes, mawa, sugar, cardamom",Veg, high_protien_diet high_fiber_diet ketogenic_diet,575,69.60471795,66.90836173,Hypertension,Low carbs,weight loss
81,almond &amp; white chocolate gujiya,gujiya,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery",Veg, low_fat_diet omni_diet ketogenic_diet gluten_free_diet high_fiber_diet hormone_diet high_protien_diet,560,67.08331445,95.95169178,Diabetes,Gluten-Free,cure disease
82,betel nut popsicle,sauce,"full cream milk, cream, mascarpone, sugar, paan (crushed), cookie crumble, dark chocolate (melted), caramel sauce",Veg, ketogenic_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,300,77.89477343,72.20285409,Asthma,Gluten-Free,maintain body
83,tricolour salad,salad,"vinegar, honey/sugar, soy sauce, salt, garlic cloves (minced), chilli pepper (sliced), green papaya, carrot (peeled), cucumbers, mint leaves, toasted peanuts",Veg, low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet,545,66.9963328,90.75957744,Diabetes,Gluten-Free,weight gain
84,christmas tree pizza,pizza,"pizza dough (2 boules), red pepper, red onion, basil pesto (purchased, homemade or vegan pesto), mozzarella cheese, kosher salt",Veg, vegan_diet high_fiber_diet,210,74.15731291,69.69684652,None,Keto,maintain body
